precipitationLast6Hours,visibility,barometricPressure,windDirection,relativeHumidity,heatIndex,rawMessage,timestamp,maxTemperatureLast24Hours,elevation,temperature,minTemperatureLast24Hours,precipitationLastHour,precipitationLast3Hours,dewpoint,windChill,windGust,seaLevelPressure,windSpeed,textDescription
,16090,102000,0,54.110084017545,,KNYC 010551Z AUTO 00000KT 10SM CLR 11/02 A3012 RMK AO2 SLP190 T01060017 10144 20100 58000 $,2022-05-01T05:51:00+00:00,,27,10.6,,,,1.7,,,101900,0,Clear
,9660,101800,90,96.074594670841,,KNYC 021033Z AUTO 09003KT 6SM -RA BR BKN015 BKN043 OVC060 11/10 A3006 RMK AO2 RAB0955 P0020 T01060100 $,2022-05-02T10:33:00+00:00,,27,10.6,,0.01,,10,,,,5.4,Light Rain and Fog/Mist
,6440,101930,110,92.842632704448,,KJFK 040451Z 11009KT 4SM -DZ BR OVC005 09/08 A3010 RMK AO2 SLP193 P0000 T00940083 401670094,2022-05-04T04:51:00+00:00,,7,9.4,,0,,8.3,6.999965789968333,,101930,16.56,Light Drizzle and Fog/Mist
,16090,101800,,38.862552721019,,KJFK 302051Z 19013KT 10SM CLR 15/01 A3006 RMK AO2 SLP177 WSHFT 2009 T01500011 55008,2022-04-30T20:51:00+00:00,,7,15,,,,1.1,,,101770,,Clear
,16090,101830,,12.164783155336,,KEWR 301751Z 29013G17KT 10SM CLR 19/M11 A3007 RMK AO2 SLP183 T01941106 10194 20111 58017,2022-04-30T17:51:00+00:00,,9,19.4,,,,-10.6,,,101830,,Clear
,16090,101660,0,59.870523930267,,KNYC 060451Z AUTO 00000KT 10SM CLR 16/08 A3002 RMK AO2 SLP158 T01610083 402330133 $,2022-05-06T04:51:00+00:00,,27,16.1,,,,8.3,,,101580,0,
,16090,101590,0,66.902625351419,,KNYC 060851Z AUTO 00000KT 10SM FEW120 15/09 A3000 RMK AO2 SLP148 T01500089 58003 $,2022-05-06T08:51:00+00:00,,27,15,,,,8.9,,,101480,0,Mostly Clear
,16090,102000,0,33.78852355548,,KNYC 010351Z AUTO 00000KT 10SM CLR 12/M03 A3012 RMK AO2 SLP191 T01221033 $,2022-05-01T03:51:00+00:00,,27,12.2,,,,-3.3,,,101910,0,Clear
,12870,101800,70,89.954432820851,,KNYC 021451Z AUTO 07007KT 8SM BKN012 OVC018 12/11 A3006 RMK AO2 SLP170 60000 T01220106 58009 $,2022-05-02T14:51:00+00:00,,27,12.2,,,0,10.6,,,101700,12.96,Cloudy
,11270,101590,,71.62381165163,,KEWR 020951Z 11013G20KT 7SM -TSRA BKN012CB OVC020 13/08 A3000 RMK AO2 LTG DSNT S AND SW RAB36 TSB42 PRESFR SLP158 FRQ LTGICCG OHD TS OHD MOV E P0001 T01280078,2022-05-02T09:51:00+00:00,,9,12.8,,0,,7.8,,,101580,,Thunderstorms and Rain
